BookWordCount BookScore BookScoreCount AddListCount Mode Median StandardDeviation Quartile DispersionCoefficient Kurtosis Class
154
0.97 6.4 568 214 8.00 6.00 2.48 4.00 0.38 200.91 good
0.98 7.2 967 492 8.00 8.00 2.35 4.00 0.32 406.22 good
0.89 6.4 47 12 6.00 6.00 2.31 2.00 0.36 267.71 bad
0.90 6.4 129 38 8.00 6.00 2.62 4.00 0.41 155.27 bad
0.96 5.8 78 22 6.00 6.00 2.57 4.00 0.44 113.07 bad
0.97 5.6 439 122 6.00 6.00 2.63 4.00 0.46 93.52 good
0.91 6.0 187 42 2.00 6.00 2.97 4.00 0.49 75.15 good
0.87 5.8 27 8 6.00 6.00 2.27 2.00 0.39 181.37 bad
0.96 6.5 177 53 6.00 6.00 2.52 4.00 0.39 196.73 bad
0.77 5.4 51 14 8.00 6.00 2.38 4.00 0.44 110.48 bad
0.94 5.8 78 25 8.00 6.00 2.40 4.00 0.42 143.84 bad
0.65 6.9 51 15 6.00 6.00 2.12 2.00 0.31 491.68 bad
0.77 6.0 25 12 6.00 6.00 2.65 4.00 0.44 114.51 bad
0.82 5.5 48 9 6.00 6.00 2.26 2.00 0.41 156.17 bad
0.96 5.9 454 136 2.00 6.00 2.94 6.00 0.50 68.44 good
0.98 6.6 658 204 6.00 6.00 2.62 4.00 0.39 188.48 bad
0.96 5.7 119 25 6.00 6.00 2.68 4.00 0.47 87.54 good
0.85 5.6 36 10 8.00 6.00 2.69 4.00 0.48 80.31 bad
0.79 6.5 23 7 10.00 6.00 2.78 6.00 0.42 137.29 bad
0.96 6.7 250 70 10.00 6.00 2.70 6.00 0.40 181.41 bad
0.94 5.3 112 17 2.00 4.00 2.85 6.00 0.55 48.29 good
0.93 4.6 44 12 4.00 4.00 2.26 4.00 0.50 66.70 bad
0.93 6.5 159 61 6.00 6.00 2.01 2.00 0.31 468.11 bad
0.96 4.7 116 32 4.00 4.00 2.25 4.00 0.48 78.49 good
0.93 5.5 70 23 6.00 6.00 2.44 2.00 0.44 114.10 bad
0.86 4.8 11 2 2.00 4.00 2.99 4.00 0.62 28.01 bad
0.92 6.5 100 32 6.00 6.00 2.37 2.00 0.37 249.04 bad
0.96 4.5 150 31 2.00 4.00 2.55 4.00 0.57 40.03 good
0.90 7.2 263 73 8.00 8.00 2.33 4.00 0.32 418.19 bad
0.98 7.1 290 68 10.00 8.00 2.79 4.00 0.39 194.89 good
0.97 5.4 29 9 6.00 6.00 2.57 6.00 0.48 80.73 bad
0.93 5.8 44 6 6.00 6.00 2.19 4.00 0.38 211.54 good
0.90 6.8 292 111 8.00 8.00 2.21 2.00 0.32 404.81 bad
0.97 6.1 192 49 6.00 6.00 2.49 4.00 0.40 163.05 good
0.97 5.1 97 24 6.00 6.00 2.01 2.00 0.39 192.82 bad
0.99 5.5 1909 254 2.00 6.00 3.12 6.00 0.57 41.11 good
0.94 6.7 223 63 8.00 8.00 2.56 2.00 0.38 203.97 bad
0.90 7.8 216 106 8.00 8.00 2.03 4.00 0.26 948.64 bad
0.94 5.9 63 19 4.00 6.00 2.33 4.00 0.40 172.89 bad
0.78 3.5 20 1 2.00 2.00 1.81 2.00 0.52 53.89 bad
0.97 6.7 495 172 8.00 8.00 2.50 2.00 0.37 227.23 good
0.97 6.7 670 289 6.00 6.00 2.20 2.00 0.33 389.04 good
0.98 5.4 686 215 2.00 6.00 2.69 6.00 0.49 74.29 bad
0.93 5.1 81 18 2.00 6.00 2.89 6.00 0.56 44.83 good
0.98 5.4 1885 242 2.00 4.00 3.33 6.00 0.62 29.34 good
0.99 5.8 299 93 6.00 6.00 2.45 4.00 0.42 135.14 bad
0.96 7.1 108 28 8.00 8.00 2.66 4.00 0.38 218.67 good
0.90 5.3 79 20 4.00 4.00 2.52 4.00 0.47 85.63 bad
0.98 6.8 1248 371 8.00 6.00 2.28 2.00 0.33 362.40 bad
0.89 5.9 72 13 6.00 6.00 2.44 4.00 0.41 155.38 bad
0.90 5.3 29 7 6.00 6.00 2.27 2.00 0.44 119.73 good
0.94 5.9 133 42 6.00 6.00 1.99 4.00 0.34 339.26 bad
0.93 7.9 1780 446 10.00 8.00 2.48 4.00 0.32 453.60 bad
0.90 4.0 22 1 2.00 4.00 2.42 2.00 0.60 31.11 bad
0.64 7.0 43 9 6.00 6.00 2.57 4.00 0.37 245.77 good
0.95 5.6 55 11 6.00 6.00 2.18 4.00 0.39 182.02 bad
0.87 5.3 80 13 6.00 6.00 2.61 4.00 0.49 74.03 good
0.98 6.2 2109 551 8.00 6.00 2.85 4.00 0.46 94.54 bad
0.92 7.5 461 70 10.00 8.00 2.69 4.00 0.36 256.16 good
0.96 6.5 484 138 10.00 6.00 2.71 6.00 0.42 148.52 good
0.89 6.2 108 19 10.00 6.00 2.86 4.00 0.46 95.85 bad
0.72 7.5 86 33 8.00 8.00 1.89 2.00 0.25 1104.85 good
0.90 5.3 13 3 4.00 4.00 2.06 4.00 0.38 199.64 bad
0.95 6.2 91 21 2.00 6.00 3.31 8.00 0.53 55.29 good
0.91 4.4 45 10 2.00 4.00 2.26 4.00 0.52 59.06 bad
0.93 4.8 82 22 6.00 4.00 2.31 4.00 0.48 77.07 bad
0.85 5.9 21 2 6.00 6.00 2.27 4.00 0.38 204.65 bad
