BookWordCount AddListCount Median Class
52
3 7 8 10 11 14 21 25 30 35 37 39 45 46 52 58 67 69 73 74 79 81 85 86 87 89 90 91 92 96 99 104 107 108 109 110 113 114 116 122 123 124 126 131 134 136 139 140 141 142 146 149
0.90 38 6.00 good
0.87 8 6.00 bad
0.96 53 6.00 bad
0.94 25 6.00 bad
0.65 15 6.00 bad
0.96 136 6.00 good
0.93 12 4.00 bad
0.86 2 4.00 bad
0.97 9 6.00 bad
0.99 254 6.00 good
0.90 106 8.00 bad
0.78 1 2.00 bad
0.99 93 6.00 bad
0.96 28 8.00 good
0.93 446 8.00 bad
0.92 70 8.00 good
0.71 17 8.00 good
0.47 5 8.00 bad
0.92 8 8.00 good
0.90 16 6.00 bad
0.96 94 6.00 bad
0.94 4 6.00 bad
0.94 55 4.00 good
0.96 53 8.00 bad
0.95 65 6.00 bad
0.97 49 6.00 bad
0.90 4 2.00 bad
0.96 218 8.00 good
0.96 141 8.00 good
0.85 100 8.00 good
0.97 253 6.00 bad
0.97 5 4.00 bad
0.98 188 6.00 bad
0.99 1586 10.00 good
0.95 34 6.00 bad
0.96 31 6.00 bad
0.98 25 6.00 bad
0.84 218 10.00 bad
0.96 7 6.00 good
0.93 126 8.00 bad
0.97 32 6.00 good
0.98 57 6.00 good
0.94 48 8.00 good
0.97 5 4.00 good
0.97 168 8.00 good
0.93 9 4.00 bad
0.96 206 8.00 good
0.88 7 8.00 bad
0.80 19 8.00 bad
0.99 365 8.00 good
0.99 710 8.00 good
0.99 178 6.00 good
