BookWordCount AddListCount Median Class
102
0 1 2 4 5 6 9 12 13 15 16 17 18 19 20 22 23 24 26 27 28 29 31 32 33 34 36 38 40 41 42 43 44 47 48 49 50 51 53 54 55 56 57 59 60 61 62 63 64 65 66 68 70 71 72 75 76 77 78 80 82 83 84 88 93 94 95 97 98 100 101 102 103 105 106 111 112 115 117 118 119 120 121 125 127 128 129 130 132 133 135 137 138 143 144 145 147 148 150 151 152 153
0.97 214 6.00 good
0.98 492 8.00 good
0.89 12 6.00 bad
0.96 22 6.00 bad
0.97 122 6.00 good
0.91 42 6.00 good
0.77 14 6.00 bad
0.77 12 6.00 bad
0.82 9 6.00 bad
0.98 204 6.00 bad
0.96 25 6.00 good
0.85 10 6.00 bad
0.79 7 6.00 bad
0.96 70 6.00 bad
0.94 17 4.00 good
0.93 61 6.00 bad
0.96 32 4.00 good
0.93 23 6.00 bad
0.92 32 6.00 bad
0.96 31 4.00 good
0.90 73 8.00 bad
0.98 68 8.00 good
0.93 6 6.00 good
0.90 111 8.00 bad
0.97 49 6.00 good
0.97 24 6.00 bad
0.94 63 8.00 good
0.94 19 6.00 bad
0.97 172 8.00 good
0.97 289 6.00 good
0.98 215 6.00 bad
0.93 18 6.00 good
0.98 242 4.00 good
0.90 20 4.00 bad
0.98 371 6.00 bad
0.89 13 6.00 bad
0.90 7 6.00 good
0.94 42 6.00 good
0.90 1 4.00 bad
0.64 9 6.00 good
0.95 11 6.00 bad
0.87 13 6.00 good
0.98 551 6.00 bad
0.96 138 6.00 good
0.89 19 6.00 bad
0.72 33 8.00 good
0.90 3 4.00 bad
0.95 21 6.00 good
0.91 10 4.00 bad
0.93 22 4.00 bad
0.85 2 6.00 bad
0.94 45 8.00 bad
0.91 2 8.00 bad
0.95 119 6.00 bad
0.99 180 8.00 good
0.87 8 6.00 good
0.89 110 8.00 good
1.00 183 8.00 good
0.93 57 6.00 bad
0.96 193 10.00 bad
0.97 3 4.00 bad
0.87 22 6.00 bad
0.83 3 6.00 good
0.98 321 8.00 good
0.94 121 8.00 bad
0.92 57 8.00 good
0.95 4 6.00 good
0.78 7 8.00 good
0.97 558 8.00 good
0.91 8 8.00 bad
0.98 65 8.00 bad
0.93 39 6.00 good
0.77 6 6.00 bad
0.97 98 8.00 good
0.92 102 6.00 good
0.97 53 6.00 good
0.95 63 6.00 bad
0.96 76 6.00 bad
0.91 5 6.00 bad
0.94 112 6.00 bad
0.99 274 8.00 good
0.94 15 6.00 good
0.96 14 4.00 bad
0.92 149 10.00 good
0.85 146 8.00 good
0.98 108 8.00 good
0.98 510 8.00 good
0.89 11 6.00 bad
0.98 131 6.00 good
0.96 1 6.00 bad
0.98 293 8.00 bad
0.99 303 8.00 good
0.98 53 6.00 bad
0.97 42 6.00 bad
0.98 103 6.00 bad
0.92 28 6.00 bad
0.97 26 4.00 good
0.98 54 2.00 bad
0.89 5 6.00 bad
0.94 125 8.00 bad
0.97 12 6.00 good
0.93 50 6.00 good
