BookWordCount BookScore BookScoreCount AddListCount OneStarRate TwoStarRate ThreeStarRate FourStarRate FiveStarRate Mode Median StandardDeviation Quartile DispersionCoefficient Kurtosis Class
154
177.20 6.4 568 214 0.13 0.15 0.28 0.30 0.15 8.00 6.00 2.48 4.00 0.38 200.91 good
289.90 7.2 967 492 0.08 0.08 0.23 0.36 0.25 8.00 8.00 2.35 4.00 0.32 406.22 good
48.30 6.4 47 12 0.11 0.10 0.40 0.24 0.15 6.00 6.00 2.31 2.00 0.36 267.71 bad
52.30 6.4 129 38 0.16 0.12 0.27 0.27 0.18 8.00 6.00 2.62 4.00 0.41 155.27 bad
139.00 5.8 78 22 0.23 0.09 0.33 0.25 0.10 6.00 6.00 2.57 4.00 0.44 113.07 bad
158.50 5.6 439 122 0.22 0.20 0.26 0.21 0.12 6.00 6.00 2.63 4.00 0.46 93.52 good
59.60 6.0 187 42 0.24 0.14 0.21 0.18 0.23 2.00 6.00 2.97 4.00 0.49 75.15 good
38.90 5.8 27 8 0.15 0.15 0.48 0.11 0.11 6.00 6.00 2.27 2.00 0.39 181.37 bad
143.50 6.5 177 53 0.11 0.16 0.30 0.22 0.21 6.00 6.00 2.52 4.00 0.39 196.73 bad
21.30 5.4 51 14 0.24 0.18 0.26 0.30 0.02 8.00 6.00 2.38 4.00 0.44 110.48 bad
82.50 5.8 78 25 0.14 0.26 0.23 0.27 0.09 8.00 6.00 2.40 4.00 0.42 143.84 bad
13.40 6.9 51 15 0.08 0.04 0.40 0.32 0.16 6.00 6.00 2.12 2.00 0.31 491.68 bad
21.80 6.0 25 12 0.20 0.08 0.44 0.08 0.20 6.00 6.00 2.65 4.00 0.44 114.51 bad
27.50 5.5 48 9 0.15 0.24 0.39 0.13 0.09 6.00 6.00 2.26 2.00 0.41 156.17 bad
123.80 5.9 454 136 0.26 0.14 0.21 0.19 0.20 2.00 6.00 2.94 6.00 0.50 68.44 good
257.20 6.6 658 204 0.13 0.13 0.27 0.25 0.23 6.00 6.00 2.62 4.00 0.39 188.48 bad
135.80 5.7 119 25 0.21 0.22 0.23 0.20 0.14 6.00 6.00 2.68 4.00 0.47 87.54 good
33.60 5.6 36 10 0.23 0.22 0.20 0.23 0.12 8.00 6.00 2.69 4.00 0.48 80.31 bad
24.10 6.5 23 7 0.14 0.17 0.28 0.14 0.28 10.00 6.00 2.78 6.00 0.42 137.29 bad
122.40 6.7 250 70 0.11 0.18 0.22 0.22 0.28 10.00 6.00 2.70 6.00 0.40 181.41 bad
82.30 5.3 112 17 0.31 0.20 0.15 0.20 0.13 2.00 4.00 2.85 6.00 0.55 48.29 good
74.10 4.6 44 12 0.28 0.37 0.16 0.14 0.04 4.00 4.00 2.26 4.00 0.50 66.70 bad
77.70 6.5 159 61 0.05 0.15 0.40 0.28 0.11 6.00 6.00 2.01 2.00 0.31 468.11 bad
122.20 4.7 116 32 0.26 0.31 0.28 0.08 0.06 4.00 4.00 2.25 4.00 0.48 78.49 good
74.80 5.5 70 23 0.19 0.21 0.36 0.13 0.11 6.00 6.00 2.44 2.00 0.44 114.10 bad
35.90 4.8 11 2 0.40 0.20 0.20 0.00 0.20 2.00 4.00 2.99 4.00 0.62 28.01 bad
62.70 6.5 100 32 0.11 0.09 0.43 0.18 0.19 6.00 6.00 2.37 2.00 0.37 249.04 bad
147.20 4.5 150 31 0.42 0.17 0.21 0.15 0.05 2.00 4.00 2.55 4.00 0.57 40.03 good
53.00 7.2 263 73 0.06 0.11 0.25 0.31 0.27 8.00 8.00 2.33 4.00 0.32 418.19 bad
233.90 7.1 290 68 0.13 0.10 0.22 0.20 0.36 10.00 8.00 2.79 4.00 0.39 194.89 good
150.70 5.4 29 9 0.25 0.18 0.32 0.14 0.11 6.00 6.00 2.57 6.00 0.48 80.73 bad
78.00 5.8 44 6 0.09 0.30 0.33 0.19 0.09 6.00 6.00 2.19 4.00 0.38 211.54 good
51.10 6.8 292 111 0.09 0.09 0.31 0.39 0.13 8.00 8.00 2.21 2.00 0.32 404.81 bad
178.90 6.1 192 49 0.13 0.20 0.29 0.23 0.15 6.00 6.00 2.49 4.00 0.40 163.05 good
154.60 5.1 97 24 0.16 0.30 0.39 0.13 0.03 6.00 6.00 2.01 2.00 0.39 192.82 bad
713.10 5.5 1909 254 0.35 0.12 0.18 0.14 0.21 2.00 6.00 3.12 6.00 0.57 41.11 good
87.00 6.7 223 63 0.14 0.10 0.23 0.34 0.19 8.00 8.00 2.56 2.00 0.38 203.97 bad
51.30 7.8 216 106 0.05 0.03 0.20 0.44 0.28 8.00 8.00 2.03 4.00 0.26 948.64 bad
80.20 5.9 63 19 0.08 0.35 0.27 0.17 0.13 4.00 6.00 2.33 4.00 0.40 172.89 bad
22.80 3.5 20 1 0.53 0.26 0.16 0.05 0.00 2.00 2.00 1.81 2.00 0.52 53.89 bad
153.10 6.7 495 172 0.12 0.12 0.24 0.33 0.19 8.00 8.00 2.50 2.00 0.37 227.23 good
