BookWordCount BookScore BookScoreCount AddListCount Mode Median StandardDeviation Quartile DispersionCoefficient Kurtosis Class
58
0.91 6.0 187 42 2.00 6.00 2.97 4.00 0.49 75.15 good
0.77 5.4 51 14 8.00 6.00 2.38 4.00 0.44 110.48 bad
0.94 5.8 78 25 8.00 6.00 2.40 4.00 0.42 143.84 bad
0.96 5.9 454 136 2.00 6.00 2.94 6.00 0.50 68.44 good
0.98 6.6 658 204 6.00 6.00 2.62 4.00 0.39 188.48 bad
0.85 5.6 36 10 8.00 6.00 2.69 4.00 0.48 80.31 bad
0.79 6.5 23 7 10.00 6.00 2.78 6.00 0.42 137.29 bad
0.94 5.3 112 17 2.00 4.00 2.85 6.00 0.55 48.29 good
0.93 4.6 44 12 4.00 4.00 2.26 4.00 0.50 66.70 bad
0.90 7.2 263 73 8.00 8.00 2.33 4.00 0.32 418.19 bad
0.98 7.1 290 68 10.00 8.00 2.79 4.00 0.39 194.89 good
0.93 5.8 44 6 6.00 6.00 2.19 4.00 0.38 211.54 good
0.97 5.1 97 24 6.00 6.00 2.01 2.00 0.39 192.82 bad
0.90 7.8 216 106 8.00 8.00 2.03 4.00 0.26 948.64 bad
0.94 5.9 63 19 4.00 6.00 2.33 4.00 0.40 172.89 bad
0.97 6.7 670 289 6.00 6.00 2.20 2.00 0.33 389.04 good
0.98 5.4 686 215 2.00 6.00 2.69 6.00 0.49 74.29 bad
0.99 5.8 299 93 6.00 6.00 2.45 4.00 0.42 135.14 bad
0.96 7.1 108 28 8.00 8.00 2.66 4.00 0.38 218.67 good
0.90 5.3 79 20 4.00 4.00 2.52 4.00 0.47 85.63 bad
0.98 6.8 1248 371 8.00 6.00 2.28 2.00 0.33 362.40 bad
0.89 5.9 72 13 6.00 6.00 2.44 4.00 0.41 155.38 bad
0.95 5.6 55 11 6.00 6.00 2.18 4.00 0.39 182.02 bad
0.92 7.5 461 70 10.00 8.00 2.69 4.00 0.36 256.16 good
0.90 5.3 13 3 4.00 4.00 2.06 4.00 0.38 199.64 bad
0.85 5.9 21 2 6.00 6.00 2.27 4.00 0.38 204.65 bad
0.47 7.4 20 5 8.00 8.00 2.03 2.00 0.28 758.93 bad
0.92 6.8 19 8 8.00 8.00 2.42 2.00 0.36 278.58 good
0.90 6.1 46 16 6.00 6.00 1.97 4.00 0.32 393.48 bad
0.87 6.4 21 8 6.00 6.00 2.15 2.00 0.34 344.01 good
0.96 5.2 531 94 2.00 6.00 2.66 6.00 0.50 65.93 bad
0.96 8.3 714 193 10.00 10.00 2.47 2.00 0.30 599.56 bad
0.94 5.8 25 4 6.00 6.00 2.33 2.00 0.40 173.53 bad
0.97 5.6 31 3 4.00 4.00 2.68 4.00 0.47 87.78 bad
0.83 5.9 21 3 6.00 6.00 2.57 4.00 0.44 116.65 good
0.96 7.0 222 53 6.00 8.00 2.54 4.00 0.37 249.84 bad
0.97 6.4 145 49 8.00 6.00 2.46 4.00 0.38 208.64 bad
0.90 4.0 16 4 2.00 2.00 2.56 4.00 0.63 25.57 bad
0.96 7.8 527 141 10.00 8.00 2.48 4.00 0.32 444.03 good
0.92 7.0 218 57 8.00 8.00 2.42 2.00 0.35 299.63 good
0.91 7.0 42 8 6.00 8.00 2.46 4.00 0.35 297.05 bad
0.77 6.6 29 6 6.00 6.00 1.89 2.00 0.29 664.54 bad
0.99 8.7 5393 1586 10.00 10.00 2.14 2.00 0.25 1238.93 good
0.97 5.8 182 53 8.00 6.00 2.60 4.00 0.44 113.09 good
0.84 8.5 1114 218 10.00 10.00 2.31 2.00 0.27 875.52 bad
0.96 5.5 282 76 6.00 6.00 2.36 4.00 0.43 125.49 bad
0.94 6.5 274 112 6.00 6.00 2.11 2.00 0.33 387.39 bad
0.94 5.6 45 15 8.00 6.00 2.70 6.00 0.49 75.21 good
0.94 6.4 353 48 10.00 8.00 3.14 8.00 0.49 76.64 good
0.98 6.4 614 131 8.00 6.00 2.44 4.00 0.38 212.10 good
0.98 7.0 1310 293 8.00 8.00 2.58 4.00 0.37 234.30 bad
0.98 5.7 328 53 2.00 6.00 2.98 6.00 0.53 56.35 bad
0.99 7.8 2366 365 10.00 8.00 2.61 4.00 0.33 364.52 good
0.97 3.9 208 26 2.00 4.00 2.20 4.00 0.56 40.59 good
0.98 3.3 1080 54 2.00 2.00 2.56 0.00 0.80 9.99 bad
0.99 6.0 674 178 8.00 6.00 2.68 4.00 0.44 113.50 good
0.89 6.1 21 5 6.00 6.00 2.49 4.00 0.41 158.29 bad
0.94 6.8 638 125 10.00 8.00 3.13 6.00 0.45 105.22 bad
