分数 评分人数 一星比 二星比 三星比 四星比 五星比 书单数 类别
72
8.70 4999 0.05 0.02 0.09 0.21 0.64 1322 1
7.70 4020 0.11 0.05 0.13 0.31 0.41 671 1
6.60 2038 0.18 0.09 0.20 0.30 0.23 503 1
7.30 1987 0.09 0.08 0.21 0.32 0.30 497 1
6.30 1984 0.24 0.06 0.19 0.31 0.19 497 1
6.70 1661 0.15 0.08 0.25 0.31 0.20 476 1
6.80 1543 0.16 0.09 0.20 0.30 0.26 406 1
7.50 1337 0.09 0.06 0.21 0.30 0.33 379 1
7.20 681 0.09 0.06 0.24 0.38 0.23 361 1
7.80 1632 0.10 0.04 0.14 0.31 0.41 360 1
6.80 1108 0.09 0.09 0.32 0.35 0.16 324 1
7.00 2276 0.23 0.04 0.12 0.20 0.41 309 1
6.90 1566 0.18 0.10 0.17 0.23 0.32 306 1
6.80 606 0.10 0.15 0.26 0.25 0.24 265 1
6.70 622 0.17 0.09 0.19 0.31 0.25 241 1
6.90 523 0.04 0.14 0.31 0.32 0.18 239 1
5.70 1817 0.34 0.10 0.17 0.15 0.24 225 1
6.60 850 0.11 0.10 0.32 0.28 0.19 214 1
6.30 726 0.12 0.13 0.36 0.28 0.12 206 1
6.60 775 0.09 0.09 0.37 0.33 0.11 204 1
5.50 1237 0.28 0.14 0.25 0.23 0.10 193 1
5.20 1690 0.46 0.06 0.11 0.17 0.20 191 1
4.20 988 0.55 0.07 0.17 0.10 0.10 185 1
6.80 791 0.10 0.09 0.28 0.36 0.16 171 1
7.60 711 0.06 0.08 0.22 0.27 0.37 166 1
6.60 1099 0.23 0.12 0.13 0.19 0.34 165 1
5.90 622 0.16 0.15 0.37 0.24 0.08 162 1
6.50 429 0.12 0.12 0.30 0.32 0.15 162 1
6.90 499 0.11 0.11 0.24 0.29 0.25 160 1
6.60 772 0.15 0.11 0.21 0.35 0.18 159 1
7.50 892 0.09 0.07 0.24 0.22 0.39 159 1
5.20 805 0.31 0.15 0.23 0.23 0.08 157 1
8.40 599 0.07 0.03 0.12 0.18 0.60 150 1
5.90 405 0.18 0.16 0.31 0.23 0.11 135 1
4.20 1072 0.52 0.12 0.15 0.12 0.09 132 1
6.10 536 0.17 0.17 0.26 0.26 0.14 130 1
7.00 2219 0.09 0.07 0.28 0.38 0.18 630 0
5.70 1222 0.21 0.16 0.28 0.26 0.08 340 0
6.50 1248 0.16 0.12 0.26 0.26 0.21 252 0
6.40 791 0.14 0.13 0.30 0.25 0.18 202 0
5.10 1154 0.34 0.16 0.21 0.18 0.11 194 0
7.20 1119 0.15 0.07 0.17 0.24 0.37 187 0
6.10 726 0.14 0.17 0.32 0.26 0.11 165 0
6.40 790 0.19 0.11 0.19 0.30 0.21 160 0
6.70 828 0.13 0.11 0.31 0.21 0.24 158 0
5.60 760 0.19 0.19 0.31 0.25 0.07 153 0
6.30 535 0.12 0.12 0.35 0.31 0.11 152 0
5.50 558 0.24 0.15 0.31 0.22 0.07 117 0
6.40 525 0.14 0.09 0.36 0.27 0.14 106 0
6.10 411 0.15 0.12 0.37 0.27 0.10 105 0
4.90 875 0.43 0.13 0.16 0.13 0.15 104 0
6.70 419 0.10 0.06 0.36 0.37 0.11 101 0
5.20 286 0.28 0.18 0.28 0.17 0.09 93 0
4.80 399 0.38 0.19 0.20 0.13 0.11 92 0
4.50 566 0.42 0.20 0.18 0.09 0.10 88 0
7.00 488 0.09 0.08 0.28 0.35 0.20 88 0
5.00 537 0.34 0.14 0.28 0.14 0.10 81 0
5.20 483 0.29 0.22 0.20 0.16 0.13 69 0
5.40 521 0.27 0.19 0.20 0.23 0.11 62 0
5.40 443 0.32 0.12 0.25 0.15 0.15 61 0
7.10 62 0.05 0.13 0.26 0.32 0.24 56 0
5.20 237 0.28 0.17 0.28 0.21 0.05 53 0
5.50 164 0.26 0.13 0.25 0.28 0.07 53 0
5.90 263 0.26 0.05 0.26 0.33 0.09 52 0
6.30 190 0.19 0.16 0.21 0.23 0.22 51 0
5.40 170 0.23 0.22 0.28 0.17 0.11 48 0
6.10 181 0.27 0.12 0.15 0.20 0.25 46 0
6.20 203 0.14 0.11 0.34 0.32 0.09 42 0
5.60 122 0.16 0.28 0.25 0.22 0.09 35 0
7.30 34 0.12 0.00 0.33 0.21 0.34 15 0
4.50 52 0.46 0.15 0.17 0.10 0.12 9 0
4.30 19 0.44 0.22 0.17 0.06 0.11 1 0
